Time,Admixture,PresDrop
2712,1.655555556,5.605555556
3072,1.223333333,1.821111111
3432,1.368888889,1.783333333
3672,1.333333333,1.866666667
3912,1.306666667,1.855555556
4152,1.237777778,1.898888889
4416,1.158888889,1.904444444
4656,1.293333333,1.784444444
4896,1.343333333,1.9
5136,1.231111111,2.05
5376,1.057777778,2.063333333
5616,0.867777778,2.008888889
5856,0.957777778,2.114444444
6096,0.988888889,2.125555556
6336,1.097777778,2.123333333
6576,1.06,2.227777778
6816,1.265555556,2.225555556
7056,1.228888889,2.292222222
7296,1.287777778,2.336666667
7536,1.315555556,2.336666667
7776,1.217777778,2.324444444
8016,1.228888889,2.315555556
8256,1.187777778,2.322222222
8496,1.261111111,2.31
8736,1.547777778,2.378888889
8976,1.378888889,2.323333333
9216,1.216666667,2.331111111
9456,1.3,2.294444444
9720,1.272222222,2.367777778
10008,1.306666667,2.316666667
10248,1.022222222,2.286666667
10488,1.058888889,2.326666667
10728,1.293333333,2.386666667
10992,1.164444444,2.276666667
11232,1.256666667,2.755555556
11472,1.247777778,2.693333333
